column_1,value,name,club,nation,position,age,link
0,"€180.00m","Kylian Mbappé","Paris Saint-Germain",France,Centre-Forward,24,https://fminside.net/players/3-fm-23/85139014-kylian-mbappe
1,"€170.00m","Erling Haaland","Manchester City",Norway,Centre-Forward,22,https://fminside.net/players/3-fm-23/29179241-erling-haaland
2,"€120.00m","Vinicius Junior","Real Madrid",Brazil,"Left Winger",22,https://fminside.net/players/3-fm-23/19302146-vinicius-junior
3,"€90.00m","Harry Kane","Tottenham Hotspur",England,Centre-Forward,29,https://fminside.net/players/3-fm-23/28049320-harry-kane
4,"€85.00m","Rafael Leão","AC Milan",Portugal,"Left Winger",23,https://fminside.net/players/3-fm-23/83111483-rafael-leao
5,"€80.00m",Rodrygo,"Real Madrid",Brazil,"Right Winger",21,https://fminside.net/players/3-fm-23/19306929-rodrygo
6,"€80.00m","Dusan Vlahovic","Juventus FC",Serbia,Centre-Forward,22,https://fminside.net/players/3-fm-23/62182055-duan-vlahovic
7,"€80.00m","Christopher Nkunku","RB Leipzig",France,"Second Striker",25,https://fminside.net/players/3-fm-23/85140301-christopher-nkunku
8,"€80.00m","Mohamed Salah","Liverpool FC",Egypt,"Right Winger",30,https://fminside.net/players/3-fm-23/98028755-mohamed-salah
9,"€75.00m",Antony,"Manchester United",Brazil,"Right Winger",22,https://fminside.net/players/3-fm-23/19338230-antony
10,"€75.00m","Luis Díaz","Liverpool FC",Colombia,"Left Winger",25,https://fminside.net/players/3-fm-23/76049803-luis-diaz
11,"€75.00m","Lautaro Martínez","Inter Milan",Argentina,Centre-Forward,25,https://fminside.net/players/3-fm-23/14110660-lautaro-martinez
12,"€75.00m","Gabriel Jesus","Arsenal FC",Brazil,Centre-Forward,25,https://fminside.net/players/3-fm-23/19220266-gabriel-jesus
13,"€75.00m",Neymar,"Paris Saint-Germain",Brazil,"Left Winger",30,https://fminside.net/players/3-fm-23/19024412-neymar
14,"€70.00m","Darwin Núñez","Liverpool FC",Uruguay,Centre-Forward,23,https://fminside.net/players/3-fm-23/78090138-darwin-nunez
15,"€70.00m","Victor Osimhen","SSC Napoli",Nigeria,Centre-Forward,24,https://fminside.net/players/3-fm-23/13158205-victor-osimhen
16,"€70.00m","Jack Grealish","Manchester City",England,"Left Winger",27,https://fminside.net/players/3-fm-23/28067800-jack-grealish
17,"€70.00m","Leroy Sané","Bayern Munich",Germany,"Left Winger",26,https://fminside.net/players/3-fm-23/91138280-leroy-sane
18,"€70.00m","Raheem Sterling","Chelsea FC",England,"Left Winger",28,https://fminside.net/players/3-fm-23/28054109-raheem-sterling
19,"€70.00m","Heung-min Son","Tottenham Hotspur","Korea, South","Left Winger",30,https://fminside.net/players/3-fm-23/92020288-heung-min-son
20,"€65.00m","Serge Gnabry","Bayern Munich",Germany,"Right Winger",27,https://fminside.net/players/3-fm-23/28066083-serge-gnabry
21,"€60.00m","Gabriel Martinelli","Arsenal FC",Brazil,"Left Winger",21,https://fminside.net/players/3-fm-23/19351309-gabriel-martinelli
22,"€60.00m","Khvicha Kvaratskhelia","SSC Napoli",Georgia,"Left Winger",21,https://fminside.net/players/3-fm-23/59130638-khvicha-kvaratskhelia
23,"€60.00m","Cody Gakpo","Liverpool FC",Netherlands,"Left Winger",23,https://fminside.net/players/3-fm-23/37062185-cody-gakpo
24,"€60.00m","Jadon Sancho","Manchester United",England,"Left Winger",22,https://fminside.net/players/3-fm-23/28108490-jadon-sancho
25,"€60.00m","Mikel Oyarzabal","Real Sociedad",Spain,"Left Winger",25,https://fminside.net/players/3-fm-23/67220143-mikel-oyarzabal
26,"€60.00m","Federico Chiesa","Juventus FC",Italy,"Right Winger",25,https://fminside.net/players/3-fm-23/43161651-federico-chiesa
27,"€60.00m","Ousmane Dembélé","FC Barcelona",France,"Right Winger",25,https://fminside.net/players/3-fm-23/85140178-ousmane-dembele
28,"€60.00m","Kingsley Coman","Bayern Munich",France,"Right Winger",26,https://fminside.net/players/3-fm-23/85104424-kingsley-coman
29,"€60.00m","Sadio Mané","Bayern Munich",Senegal,"Left Winger",30,https://fminside.net/players/3-fm-23/85100467-sadio-mane
30,"€55.00m",Richarlison,"Tottenham Hotspur",Brazil,"Left Winger",25,https://fminside.net/players/3-fm-23/19265858-richarlison
31,"€55.00m","Diogo Jota","Liverpool FC",Portugal,"Left Winger",26,https://fminside.net/players/3-fm-23/55083779-diogo-jota
32,"€55.00m","Marcus Rashford","Manchester United",England,"Left Winger",25,https://fminside.net/players/3-fm-23/28100266-marcus-rashford
33,"€55.00m","Romelu Lukaku","Inter Milan",Belgium,Centre-Forward,29,https://fminside.net/players/3-fm-23/18007344-romelu-lukaku
34,"€50.00m","Julián Álvarez","Manchester City",Argentina,Centre-Forward,22,https://fminside.net/players/3-fm-23/14183207-julian-alvarez
35,"€50.00m","Ansu Fati","FC Barcelona",Spain,"Left Winger",20,https://fminside.net/players/3-fm-23/67276122-ansu-fati
36,"€50.00m","João Félix","Atlético de Madrid",Portugal,"Second Striker",23,https://fminside.net/players/3-fm-23/83169822-joao-felix
37,"€50.00m","Dejan Kulusevski","Tottenham Hotspur",Sweden,"Right Winger",22,https://fminside.net/players/3-fm-23/43295814-dejan-kulusevski
38,"€50.00m",Raphinha,"FC Barcelona",Brazil,"Right Winger",26,https://fminside.net/players/3-fm-23/19242277-raphinha
39,"€50.00m","Moussa Diaby","Bayer 04 Leverkusen",France,"Left Winger",23,https://fminside.net/players/3-fm-23/48044574-moussa-diaby
40,"€50.00m","Alexander Isak","Newcastle United",Sweden,Centre-Forward,23,https://fminside.net/players/3-fm-23/93070286-alexander-isak
41,"€50.00m","Lionel Messi","Paris Saint-Germain",Argentina,"Right Winger",35,https://fminside.net/players/3-fm-23/7458500-lionel-messi
42,"€45.00m","Jonathan David","LOSC Lille",Canada,Centre-Forward,22,https://fminside.net/players/3-fm-23/18108540-jonathan-david
43,"€45.00m","Tammy Abraham","AS Roma",England,Centre-Forward,25,https://fminside.net/players/3-fm-23/28097985-tammy-abraham
44,"€45.00m","Ivan Toney","Brentford FC",England,Centre-Forward,26,https://fminside.net/players/3-fm-23/29116247-ivan-toney
45,"€45.00m","Robert Lewandowski","FC Barcelona",Poland,Centre-Forward,34,https://fminside.net/players/3-fm-23/719601-robert-lewandowski
46,"€42.00m","Jarrod Bowen","West Ham United",England,"Right Winger",26,https://fminside.net/players/3-fm-23/29125842-jarrod-bowen
