column_1,value,name,club,nation,position,age
0,"€180.00m","Kylian Mbappé","Paris Saint-Germain",France,Centre-Forward,24
1,"€170.00m","Erling Haaland","Manchester City",Norway,Centre-Forward,22
2,"€120.00m","Vinicius Junior","Real Madrid",Brazil,"Left Winger",22
3,"€90.00m","Harry Kane","Tottenham Hotspur",England,Centre-Forward,29
4,"€85.00m","Rafael Leão","AC Milan",Portugal,"Left Winger",23
5,"€80.00m",Rodrygo,"Real Madrid",Brazil,"Right Winger",21
6,"€80.00m","Dusan Vlahovic","Juventus FC",Serbia,Centre-Forward,22
7,"€80.00m","Christopher Nkunku","RB Leipzig",France,"Second Striker",25
8,"€80.00m","Mohamed Salah","Liverpool FC",Egypt,"Right Winger",30
9,"€75.00m",Antony,"Manchester United",Brazil,"Right Winger",22
10,"€75.00m","Luis Díaz","Liverpool FC",Colombia,"Left Winger",25
11,"€75.00m","Lautaro Martínez","Inter Milan",Argentina,Centre-Forward,25
12,"€75.00m","Gabriel Jesus","Arsenal FC",Brazil,Centre-Forward,25
13,"€75.00m",Neymar,"Paris Saint-Germain",Brazil,"Left Winger",30
14,"€70.00m","Darwin Núñez","Liverpool FC",Uruguay,Centre-Forward,23
15,"€70.00m","Victor Osimhen","SSC Napoli",Nigeria,Centre-Forward,24
16,"€70.00m","Jack Grealish","Manchester City",England,"Left Winger",27
17,"€70.00m","Leroy Sané","Bayern Munich",Germany,"Left Winger",26
18,"€70.00m","Raheem Sterling","Chelsea FC",England,"Left Winger",28
19,"€70.00m","Heung-min Son","Tottenham Hotspur","Korea, South","Left Winger",30
20,"€65.00m","Serge Gnabry","Bayern Munich",Germany,"Right Winger",27
21,"€60.00m","Gabriel Martinelli","Arsenal FC",Brazil,"Left Winger",21
22,"€60.00m","Khvicha Kvaratskhelia","SSC Napoli",Georgia,"Left Winger",21
23,"€60.00m","Cody Gakpo","Liverpool FC",Netherlands,"Left Winger",23
24,"€60.00m","Jadon Sancho","Manchester United",England,"Left Winger",22
25,"€60.00m","Mikel Oyarzabal","Real Sociedad",Spain,"Left Winger",25
26,"€60.00m","Federico Chiesa","Juventus FC",Italy,"Right Winger",25
27,"€60.00m","Ousmane Dembélé","FC Barcelona",France,"Right Winger",25
28,"€60.00m","Kingsley Coman","Bayern Munich",France,"Right Winger",26
29,"€60.00m","Sadio Mané","Bayern Munich",Senegal,"Left Winger",30
30,"€55.00m",Richarlison,"Tottenham Hotspur",Brazil,"Left Winger",25
31,"€55.00m","Diogo Jota","Liverpool FC",Portugal,"Left Winger",26
32,"€55.00m","Marcus Rashford","Manchester United",England,"Left Winger",25
